"","Generation","Najlepszy_wynik","Średnia","Mediana"
"1",1,-4089.52367513022,-177997.458197276,-165814.230852966
"2",2,-3510.35535149667,-147597.970254398,-142054.951747859
"3",3,-3266.27468595152,-124210.896921373,-117248.808348706
"4",4,-3266.27468595152,-104654.570824308,-93415.6210591269
"5",5,-3177.97154413953,-86684.9353047404,-73817.2960180021
"6",6,-2231.31424173863,-70931.3295491748,-58716.3401924583
"7",7,-1773.14625970829,-57678.6265254069,-48452.6022260616
"8",8,-1300.87914001837,-48038.1549688249,-41831.0705989334
"9",9,-1106.24865423502,-39644.9362272188,-35431.8678344024
"10",10,-714.595871545563,-32580.9188514213,-29014.2269529091
"11",11,-714.595871545563,-26838.8811223856,-24081.1494288565
"12",12,-684.618326041784,-22589.5103934782,-20025.3615927166
"13",13,-428.511754078255,-18553.4622643714,-16177.9237569779
"14",14,-329.228545088053,-15144.6805257361,-13766.5335490409
"15",15,-311.395078181303,-12897.5995848253,-11179.8267067368
"16",16,-243.182723848156,-10478.5393720549,-9202.22199352356
"17",17,-243.182723848156,-8954.93557345228,-7201.74416966634
"18",18,-233.011181038539,-7241.27761593715,-6107.82503566815
"19",19,-233.011181038539,-6423.39575135389,-5191.62669141814
"20",20,-232.079642973215,-5360.79020055224,-4330.22972028534
"21",21,-197.535366234786,-4135.53388656778,-3748.51355978729
"22",22,-177.562464779396,-3392.47028806268,-2994.6173179439
"23",23,-164.206400388629,-2940.25820817463,-2576.47678781316
"24",24,-163.603830385167,-2866.13511707093,-2200.07025083827
"25",25,-134.582765786261,-2181.23033443085,-1851.1229083975
"26",26,-134.582765786261,-1792.19288670547,-1660.35492644675
"27",27,-99.9365660257865,-1991.16195519065,-1381.4861196935
"28",28,-86.501249166927,-1804.01438465135,-1236.60353547911
"29",29,-86.501249166927,-1171.99210378954,-1116.08678719536
"30",30,-86.501249166927,-1034.61359650485,-1066.63955038565
"31",31,-86.2407359613005,-1153.17164079552,-949.125698453808
"32",32,-84.6905696780786,-1221.74341581915,-818.273493453156
"33",33,-84.6905696780786,-860.741650720936,-704.210802594943
"34",34,-81.2301343650992,-625.461537676277,-607.936126617667
"35",35,-53.1390557748492,-548.136205188191,-513.450573994801
"36",36,-47.3117225458751,-693.642573607759,-434.799627044245
