"","Iter","X","Y"
"1",1,-0.000131258084908708,7.52566248783372e-05
"2",2,-1.07938294255134e-05,1.26930458167378
"3",3,-3.65359628235944e-05,2.69735967226193e-05
"4",4,-0.000116686769272796,2.67044655174773e-05
"5",5,-0.000134463925192576,2.85941617530484
"6",6,-2.54348844615027,-7.01136308549901e-05
"7",7,-0.000118476186778265,-8.26686752945067e-05
"8",8,-2.25012862731304,-8.62848506051774e-05
"9",9,-0.000134633284039456,-0.000143339132789855
"10",10,-2.46975817380794e-05,1.07810120431239e-05
"11",1,-0.000135178025587823,3.30742862177445e-05
"12",2,-0.000109744943346361,3.15233955551293e-05
"13",3,-8.14166600678253e-05,3.31558748144627e-05
"14",4,-4.33630870872454e-05,-2.10110248882697e-05
"15",5,2.14055843960899e-05,-7.94257764407404e-05
"16",6,-9.11240872677267e-05,-9.78966855016315e-05
"17",7,-0.000142893700320323,1.34065361335954e-05
"18",8,4.4531276291305e-05,4.09175477587493e-05
"19",9,-0.000123309705279989,8.87743154480834e-05
"20",10,3.06025852315404e-05,-4.49245590641786e-05
"21",1,-9.29692304128289e-05,1.16622041561278
"22",2,-0.000134175883033094,3.25930118446494e-05
"23",3,-0.000130513208418632,-8.09328424906566e-07
"24",4,-0.494658625651001,-7.14912553890544e-05
"25",5,-0.000124771262350216,5.44196539039869e-05
"26",6,-0.000179355277387796,-1.56320616106262e-05
"27",7,1.57823324792258e-05,1.96175745530358e-05
"28",8,2.25602424164778e-05,-0.00016380751171641
"29",9,-8.01424326237299e-05,-2.55646584073549e-05
"30",10,-0.00013909781147179,-1.4716701553875e-05
"31",1,-2.46275601846754e-05,-2.99673172910608
"32",2,1.95851918287362,-2.7582245387009e-05
"33",3,-2.59150630734907e-05,6.34668464161916e-05
"34",4,4.27064534924279e-05,-5.88272217900447e-05
"35",5,-1.14761552942047,-0.000102074994897478
"36",6,-0.000136275495530593,2.93068227771984e-05
"37",7,-0.000146209431207119,1.89250257640491
"38",8,-5.54922195607648e-05,-8.02043749898258e-05
"39",9,-0.000103775804868783,-0.000129634595986795
"40",10,2.32545077677194e-05,-6.15828053332893e-05
"41",1,-3.49342044593064e-05,2.15549094621988
"42",2,-0.000106680539751176,-3.40412555624916e-05
"43",3,1.17976350028405e-06,-2.74038535641268e-05
"44",4,-7.01430092651728e-05,2.8730168985858e-05
"45",5,2.01630034592399e-06,-0.000101253706633257
"46",6,8.40444752406267e-05,-0.000110322402029527
"47",7,-0.000135444419281141,5.82514130485945e-05
"48",8,-0.000126423061896367,-3.16957978653119
"49",9,2.7063273943037e-05,-0.000143918670196358
"50",10,5.49051036561402e-06,-1.7558160628311e-05
"51",1,-7.55531820196662e-05,-5.72415921705881e-05
"52",2,-0.000130475824004311,-6.17038246316522e-05
"53",3,-7.32610754312901e-05,3.21779228768297e-05
"54",4,2.182017952781e-05,2.08732585132049
"55",5,-2.44814869850121e-05,2.70456805687021
"56",6,-8.5471755745731e-05,3.51592116670846e-05
"57",7,-0.000154844570914571,-6.63376423368933e-05
"58",8,-3.17698003426396e-05,6.29739489821773e-06
"59",9,-0.000121651870515166,6.95843673657824e-06
"60",10,-0.000178028496728754,6.78394752101459e-05
"61",1,-3.19929927593185e-05,3.66602313537549e-05
"62",2,8.1037691015378e-06,-0.000107648820642342
"63",3,-0.000131598118320155,8.0155641380973e-05
"64",4,-1.29677597918837e-05,5.28942427261184e-05
"65",5,-5.33148949057521e-05,-5.94472481442721e-06
"66",6,-1.81948617172123e-05,-9.53652914519023e-05
"67",7,-0.000104180925564047,-1.57442583983133e-05
"68",8,3.83073687925261e-05,2.63002302325896e-05
"69",9,-2.23777028948219e-05,-5.43886227700801e-05
"70",10,-0.00012145745571312,-4.83161060350364e-06
"71",1,1.87078096352014e-05,-9.18531976873039e-05
"72",2,3.30245950990083e-05,-0.000167654182064924
"73",3,-4.96558864163272e-05,-0.000106354614647374
"74",4,-0.000113059668929145,1.13449776145358e-05
"75",5,-2.14163612974946e-05,9.80604954733845e-06
"76",6,4.49078524217161e-05,-0.000147066822792942
"77",7,5.35005372070717e-05,-0.000136515064710127
"78",8,8.41120839450572e-05,-2.34722217275469e-05
"79",9,-5.669500435207e-06,-4.96209964843351e-05
"80",10,3.28363493274469e-06,8.96178761270989e-05
"81",1,-0.000104859648502884,-0.000104033040041105
"82",2,-1.70512239000121e-05,-3.00199274237849e-05
"83",3,-0.00010036048782908,-1.73430353560054e-06
"84",4,-1.84982905205192e-05,-4.64550754549775e-05
"85",5,-0.000142503867077243,1.31276226512246e-05
"86",6,-0.000120286948695759,-2.69884984789397e-05
"87",7,-7.32039895822794e-05,-7.05077074211075e-06
"88",8,-2.26839954403127e-06,-5.39311783452839e-05
"89",9,-1.6222417456526,3.86959894015615e-05
"90",10,-4.43032255099705e-05,3.56887353290658e-05
"91",1,2.58221029243462,5.18215817686268e-05
"92",2,4.40116476172762e-05,3.61867128283731e-05
"93",3,-2.83222038128605e-05,6.73824167035631e-05
"94",4,-5.16567724692533e-05,-4.89564196290795e-06
"95",5,-0.000135542339082724,-7.13629265510573e-05
"96",6,8.94385199673283e-06,0.00146279175276614
"97",7,-7.32364679420787e-05,6.97088956826526e-05
"98",8,4.19396544124066e-05,-9.32568290686202e-05
"99",9,-4.50310803192015e-06,-0.000137951950327676
"100",10,1.65095277248905e-05,-2.89515173316496e-05
